unit_id,unit_measure,country_id,region_id,city_id,food_id,network_id,type_id,month,year,price
5,KG,469.84564693439637,17104.98628130943,901.5143949640508,150.50608137654703,57.44486760972071,14.98386265716155,6.461404953915098,2012.5930443832012,1297.970365145942
9,100 KG,186.1417681312864,27351.873901535204,792.5414505029116,122.61328745367919,51.64806776071996,14.0,6.417998941238751,2012.7898358920063,43231.999608634134
14,Marmite,108.0,1413.020601219256,105.93651461004835,259.0460374185411,24.0,15.0,6.408240487702334,2011.821105738911,132.40427920958578
15,L,1860.7991356369675,8502.943116108765,1076.8436543348207,207.52355989515596,63.722703535484904,14.986234218371717,6.48048180235699,2013.9084015286421,1819.6036908161302
16,45 KG,78.1756398940865,8388.589438070021,299.59899970579585,76.15578111209179,34.12444836716681,14.0,6.4474845542806705,2009.5569285083848,62.01661369520447
17,90 KG,67.3233392122281,13632.435773074661,1253.4410640799529,149.18885949441506,43.43386243386244,14.0,6.2060552616108176,2013.4731040564375,19644.420250749565
18,MT,92.31620553359684,317.2028985507246,558.3432147562582,118.9828722002635,41.051383399209485,14.0,6.53030303030303,2012.429512516469,523741.8724697621
19,385 G,116.0,0.0,974.0,95.0,34.0,15.0,6.4186046511627906,2011.8837209302326,8249.707017054263
20,100 Tubers,94.0,1327.3997461928934,216.1516497461929,99.0,35.0,14.0,6.261421319796955,2012.197969543147,253.80822341370563
21,Bunch,94.0,1327.313527180784,215.80973451327435,98.0,35.0,14.0,6.3198482932996205,2012.3034134007585,13.77845284450063
22,50 KG,135.84350042480884,11686.108411214953,543.1474936278674,142.4197111299915,42.29736618521665,14.457604078164826,6.297706032285472,2013.1320305862362,2374.676962276976
23,91 KG,94.0,1327.2557692307691,215.58397435897436,68.0,35.0,14.0,6.330128205128205,2012.3429487179487,47.58706974358976
24,400 G,133.0,51328.0,184.0,55.0,30.0,15.0,6.427536231884058,2011.268115942029,39.552246376811595
25,500 ML,92.74788273615636,30562.092508143323,427.46254071661235,233.28534201954398,41.768078175895766,14.966123778501629,6.430618892508143,2014.7895765472313,106.38128084690557
27,Gallon,128.0993434199258,1588.035683699686,571.0499571795604,186.03654010847845,42.49785897801884,14.897801884099344,6.272337996003426,2013.9548958035969,1145.6182495289756
28,500 G,111.39408588102081,42339.76661440641,527.046729378974,160.86407978399095,43.837601254246145,15.0,6.4050169845832245,2011.7668321574777,13.912583058966904
29,Cuartilla,33.0,40447.6,310.6,168.07710843373494,46.0,15.0,6.457831325301205,2013.3614457831325,16.17255421686749
30,Pound,90.11048158640227,7447.669499527857,220.1628895184136,142.747403210576,75.37110481586403,15.0,6.492917847025495,2010.9631728045326,8.721147308781886
31,Sack,205.0,20046.28162377673,1136.5636100036245,446.0,77.0,15.0,6.527002537151142,2011.9420079739036,5465.269475534613
33,Unit,299.71717448487504,18495.444487067074,1060.975558965366,276.7708790004384,68.93873301183692,14.972380534853135,6.531784305129329,2013.7555896536608,29797.914248821657
35,Dozen,188.0,2275.1445086705203,293.0346820809249,92.0,45.0,15.0,6.329479768786127,2015.8034682080925,96.37606936416184
36,12.5 KG,142.0,1807.447677672076,526.3419138220481,56.057078903189705,56.0,15.0,6.354224958030218,2013.4549524342474,68.77598528259642
37,Loaf,220.34624,2666.7984,1451.05696,309.74112,81.88224,15.0,6.42432,2014.86336,8.881314335999985
38,750 ML,143.87326549491212,1571.7391304347825,478.6928769657724,177.1618871415356,56.28029602220167,15.0,6.42368177613321,2013.3607770582794,16.07220971322848
40,85 G,57.0,948.1574074074074,841.5462962962963,209.0,67.0,14.0,6.574074074074074,2008.8796296296296,5221.509259259259
41,380 G,57.0,950.4117647058823,841.9705882352941,463.0,67.0,14.0,6.882352941176471,2010.5735294117646,5935.691176470588
42,150 G,207.15982404692082,2502.264662756598,525.8042521994134,55.0,52.78299120234604,15.0,6.471407624633431,2010.3137829912023,5.909744941348975
43,25 KG,999.0,900014.9577464788,2001.6478873239437,227.0,73.0,15.0,6.640845070422535,2015.605633802817,132.4885711267606
44,60 KG,999.0,900016.625,2000.25,58.0,73.0,15.0,5.5,2017.0,125.4683325
46,1.8 KG,800.2394366197183,697546.2077464788,1922.8732394366198,205.09859154929578,76.6056338028169,15.0,6.397887323943662,2015.6795774647887,19807.484421478886
47,3.5 KG,57589.748762376235,6372.460643564356,1258.8646039603962,105.40742574257426,79.60396039603961,15.0,6.501980198019802,2011.4962871287128,34.83538022277228
48,3 KG,40764.0,5978.35414498786,1055.115851543531,112.11446409989594,75.0,15.0,6.467221644120707,2009.9184876864376,5.430783524106831
49,650 G,219.2871287128713,2445.750825082508,1251.645214521452,285.81188118811883,78.55445544554455,15.0,5.737623762376238,2015.881188118812,705.9018262376237
